Row Labels,Sum of Amount
CAPITAL STEEL INDUSTRIES PLOT 229/230 STREET NO 07 SECTOR I-9," 68,450,785.52 "
CHAUDHARY STEEL FURNANCE CHAUDHARY STEEL FURNANCE MAIN G.T ROAD DASKA DASKA," 35,991,038.26 "
CHENAB ENGINEERING WORKS PVT JHUMRA ROAD NISHATABAD FAISALABAD," 35,207,176.95 "
"M/S  GHAZI STEEL INDS (PVT) LTD OFFICE NO.37 2ND FLOOR AHMED COMPLEX QUETTA, PAKISTAN."," 28,121,879.12 "
MS CHENAB ENGG. WORKS & FOUNDRIES JHUMRA ROAD NISHATABAD FAISALABAD," 22,191,316.80 "
"USMAN STEEL CASTING 15- KM, GT ROAD SHAMKE MURIDKE "," 20,389,190.90 "
NEW ITTEHAD STEEL MILLS BEHIND OCTROL POST MAFIAWALA NEAR SIALKOT BYE PASS GUJRANWALA.," 12,907,488.65 "
"LIAQUAT STEEL INDUSTRIES 15-K.M. G.T. ROAD, KALA SHAH KAKU DISTT. SHEIKHUPURA PAKISTAN "," 11,927,595.96 "
HAJVAIRY STEEL INDUSTRIES PVT LTD HAJVAIRY STEEL INDUSTRIES OFFICE NO.322 CLIFTON CENTER SCHON CHOWRANGI KARACHI," 11,165,030.12 "
"MA ENGINEERING WORKS M.A ENGINEERING WORKS 32-KM, BYPASS SHEIKHUPURA SAIM NALA JEVAN PURA"," 9,975,437.38 "
"ADIL STEEL FURNACE KOHLOWALA ROAD, ESTATE NO.2, KHIALI BYEPASS, GUJRANWALA."," 8,476,602.18 "
"INAM TRADERS 9- LANDA BAZAR LAHORE, PAKISTAN. "," 7,519,026.97 "
LUCKY RE-ROLLING MILLS PVT LTD SHOP NO.2 & 3  22-C NISHAD LANE NO.12 PHASE 6 DHA KARACHI," 3,483,418.12 "
0," 1,002,765,747.55 "
AHMED CHEMICAL CO AHMED ARCADE DARYALAL STREET JODIA BAZAR KARACHI," 292,646,986.49 "
ROYAL CHEMICAL MR 1 153 OFF DARYALAL ST JODIA BAZAR KARACHI," 221,009,289.52 "
"ARFEEN INTERNATIONAL (PVT) LTD., 3RD FLOOR, TOWER A, THE WORLD TRADE CENTRE, 10 KHAYABAN-E-ROOMI, BLOCK 5, CLIFTON, KARACHI-75600,"," 192,084,980.13 "
"COLGATE - PALMOLIVE (PAKISTAN) LTD. LAKSON SQUARE, BUILDING NO-2, SARWAR SHAHEED ROAD, KARACHI-74200, PAKISTAN."," 107,461,335.27 "
"FIRST TREET MANUFACTURING MODARABA 72-B, INDUSTRIAL AREA, KOTLAKHPAT LAHORE - PAKISTAN."," 106,288,303.72 "
"ARFEEN INTERNATIONAL (PVT) LIMITED CORPORATE OFFICE WTC TOWERS 10 KHAYABAN-E-ROOMI,BLOCK-5 CLIFTON KARACHI"," 38,370,247.00 "
