,Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
188,160108559.1,6158021.505,2,282856.12,VIDA BELLA LTDA,AL BARKA FABRICS  PVT  LTD,26,0
189,79564734.16,6120364.166,2,435216.3293,VIDA BELLA LTDA,KAUSAR PROCESSING IND PVT LTD,13,0
190,1546741.63,1546741.63,11,, DHAN GURU TRADING CO,AJEET TRADERS,1,0
191,1496846.74,1496846.74,11,, DHAN GURU TRADING CO,SHAH TRADERS,1,0
192,412366.6,412366.6,18,,WIEDNER AND ILTAR KG,M.S LEATER COORDINATOR,1,0
193,1576510.85,1576510.85,18,,WIEDNER AND ILTAR KG,SMZ APPAREL PVT LTD,1,0
194,4913179.29,1637726.43,11,157590.2963, KAPIL ENTERPRISES,M/S NEW RAJA COMMISSION SHOP,3,0
195,2794113.91,1397056.955,11,141124.0673, KAPIL ENTERPRISES,SHAM TRADERS,2,0
196,7485177.07,7485177.07,1,, DONATI TEX 20 CANBERRA ROAD DU,ALI TEXTILES,1,0
197,4507311.6,4507311.6,1,, DONATI TEX 20 CANBERRA ROAD DU,KAMRAN TEXTILES PVT LTD,1,0
198,11878106.72,1319789.636,15,515579.9425,THE WAREHOUSE LTD,M/S.MULTAN INDUSTRIES,9,1
199,328251768,4155085.671,15,2790839.508,THE WAREHOUSE LTD,SADAQAT LIMITED,79,0
200,2190763.08,547690.77,6,302638.1257,UNIVERSAL AIR EXPRESS,GULZAR GARMENTS,4,0
201,524106,524106,6,,UNIVERSAL AIR EXPRESS,PREMIER HOME TEXTILE,1,0
202,3661299.69,1830649.845,27,1086670.112,SURYA CARPET PVT LTD,ENGLISH LEATHER GARMENTS,2,0
203,1943128.24,1943128.24,27,,SURYA CARPET PVT LTD,M  SAJJAD AND  COMPANY,1,0
204,38321977.9,3483816.173,4,1926891.878, KAUFMANN HANDELSGESELLSCHAFT,M.HASSAN DIN & SONS,11,0
205,15845747.95,2640957.992,4,537153.449, KAUFMANN HANDELSGESELLSCHAFT,M/S.MULTAN INDUSTRIES,6,0
206,9437470.51,4718735.255,18,4042602.434, GRISPORT SPA VOA EREGA 1 31030,M.S LEATER COORDINATOR,2,0
207,859020.68,859020.68,18,, GRISPORT SPA VOA EREGA 1 31030,SIDDIQ LEATHER WORKS PVT LTD,1,0
208,559287.98,559287.98,10,,TEX LINKS CORP LTD,M.M APPARELS,1,0
209,1491356.85,497118.95,10,18774.07703,TEX LINKS CORP LTD,SHAHABSONS APPAREL,3,0
210,4242218.79,2121109.395,17,218282.7532, AL MALKI GENERAL TRADING,KHAN ENTERPRISES,2,0
211,4259042.59,4259042.59,17,, AL MALKI GENERAL TRADING,M S KHOKHAR ENTERPRISES,1,0
212,144969.89,144969.89,21,, KENTIA S A,AFROZE TEXTILE INDUSTRIES (PVT.) LT,1,0
213,1305518.7,1305518.7,21,, KENTIA S A,SUBHAN TEXTILES,1,0
214,19672439.25,3278739.875,21,204385.5615,WHALEYS BRADFORD LTD US HARRIS,AMEER ENTERPRISES,6,0
215,16509339,5503113,25,1815556.441,UNITED ARYAN (EPZ) LTD,INDIGO TEXTILE PVT LTD,3,0
216,8959550.14,8959550.14,25,,UNITED ARYAN (EPZ) LTD,NAVEENA EXPORTS LTD.,1,0
217,1895043.76,1895043.76,16,, DIETHNIS ATHLITIKI LTD GORYTSA,MACHTRADE CORPORATION,1,0
218,312367.18,312367.18,16,, DIETHNIS ATHLITIKI LTD GORYTSA,MADRIGAL SPROTS  PVT  LTD.,1,0
219,4690570.5,4690570.5,8,, CHEMITEX LTD,SHERCOTEX,1,1
220,11703803.75,2340760.75,8,159385.2256, CHEMITEX LTD,ZULFIQAR WEAVING & TOWEL,5,0
221,1161017.89,1161017.89,4,,GALLANT TEXTILES LTD,HMF ENTERPRISES,1,0
222,18025563.03,2575080.433,4,914396.9639,GALLANT TEXTILES LTD,SHAKEEL TEXTILE INDUSTRIES,7,0
223,365448.63,365448.63,18,,MENDELSON AND FROST (PTY) LTD,MULTAN HIDE CO PVT LTD,1,0
224,293623.05,293623.05,18,,MENDELSON AND FROST (PTY) LTD,YOUSAF TANNERIES,1,0
225,197794.11,197794.11,36,,LSB EDINBURGH LTD,LACAUX INTERNATIONAL,1,0
226,3134753.46,1567376.73,13,674374.384,LUCKY INDUSTRIES,SARENA IND.& EMBROIDERY MILLS PVT,2,1
227,1261757.94,1261757.94,13,,LUCKY INDUSTRIES,SHAFI TEXCEL LIMITED,1,0
228,14691739.4,7345869.7,14,0,CALLO CONSOLIDATED DMCC,Q & Q FOOD INDUSTRIES PVT LIMITED,2,0
229,8447750.15,8447750.15,14,,CALLO CONSOLIDATED DMCC,QURESHI FLOUR MILLS,1,0
230,66227480.69,33113740.35,32,37241676.84,C&A BUYING GMBH & CO,INTERLOOP LIMITED,2,0
231,3956029.65,1978014.825,32,1869256.412,C&A BUYING GMBH & CO,TETRAPAK PAKISTAN LTD,2,0
232,70594271.55,5430328.581,21,2010126.706,M Z FIBRES LTD,ALLAH TAWAKAL TEXTILE,13,0
233,14541854.97,7270927.485,21,7164973.749,M Z FIBRES LTD,IBRAHIM FABRICS,2,0
234,6179930.91,6179930.91,8,,"M/S ANEPOL HARCIAREK SPOLKA JAWNA,",Feroze 1888 Mill Limited,1,0
